11:05:56.019078 config: drop-rate=0.00, max-delay=0s, seed=1479398756018846181
11:05:56.019415 router is listening at :3000
11:10:42.659728 config: drop-rate=0.00, max-delay=0s, seed=1479399042659628493
11:10:42.659999 router is listening at :3000
11:12:46.322132 [queue=0] packet #1, 127.0.0.1:43051 -> 127.0.0.1:8007, sz=11 is delivered
11:12:46.322649 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:43051, sz=11 is delivered
11:12:59.808722 [queue=0] packet #1, 127.0.0.1:41020 -> 127.0.0.1:8007, sz=11 is delivered
11:12:59.809206 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:41020, sz=11 is delivered
15:06:35.090263 [queue=0] packet #1, 127.0.0.1:33014 -> 127.0.0.1:8007, sz=11 is delivered
15:06:35.093152 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:33014, sz=11 is delivered
15:06:49.381190 [queue=0] packet #1, 127.0.0.1:57178 -> 127.0.0.1:8007, sz=15 is delivered
15:06:49.381738 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:57178, sz=15 is delivered
15:12:25.421292 [queue=0] packet #1, 127.0.0.1:54396 -> 127.0.0.1:8007, sz=15 is delivered
15:12:25.421833 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:54396, sz=15 is delivered
17:56:27.806657 config: drop-rate=0.00, max-delay=0s, seed=1479423387806561021
17:56:27.810724 router is listening at :3000
17:56:39.670471 [queue=0] packet #100, 127.0.0.1:55765 -> 127.0.0.1:8007, sz=0 is delivered
17:57:55.203949 [queue=0] packet #100, 127.0.0.1:44352 -> 127.0.0.1:8007, sz=0 is delivered
17:58:34.549404 config: drop-rate=0.00, max-delay=0s, seed=1479423514549320930
17:58:34.549618 router is listening at :3000
17:58:39.176292 [queue=0] packet #100, 127.0.0.1:36324 -> 127.0.0.1:8007, sz=0 is delivered
17:58:59.215087 config: drop-rate=0.00, max-delay=0s, seed=1479423539215006105
17:58:59.215316 router is listening at :3000
17:59:02.042560 [queue=0] packet #100, 127.0.0.1:42204 -> 127.0.0.1:8007, sz=0 is delivered
17:59:31.964181 config: drop-rate=0.00, max-delay=0s, seed=1479423571964043086
17:59:31.964405 router is listening at :3000
17:59:38.113330 [queue=0] packet #100, 127.0.0.1:41766 -> 127.0.0.1:8007, sz=0 is delivered
18:00:06.229738 config: drop-rate=0.00, max-delay=0s, seed=1479423606229609642
18:00:06.230061 router is listening at :3000
18:00:09.706683 [queue=0] packet #100, 127.0.0.1:50619 -> 127.0.0.1:8007, sz=0 is delivered
18:00:09.707004 [queue=0] packet #500, 127.0.0.1:8007 -> 127.0.0.1:50619, sz=0 is delivered
18:00:09.707270 [queue=0] packet #101, 127.0.0.1:50619 -> 127.0.0.1:8007, sz=0 is delivered
18:00:19.659415 [queue=0] packet #100, 127.0.0.1:46378 -> 127.0.0.1:8007, sz=0 is delivered
18:00:19.659743 [queue=0] packet #500, 127.0.0.1:8007 -> 127.0.0.1:46378, sz=0 is delivered
18:00:19.660011 [queue=0] packet #101, 127.0.0.1:46378 -> 127.0.0.1:8007, sz=0 is delivered
18:00:21.901281 [queue=0] packet #100, 127.0.0.1:51392 -> 127.0.0.1:8007, sz=0 is delivered
18:00:21.901595 [queue=0] packet #500, 127.0.0.1:8007 -> 127.0.0.1:51392, sz=0 is delivered
18:00:21.901903 [queue=0] packet #101, 127.0.0.1:51392 -> 127.0.0.1:8007, sz=0 is delivered
21:58:21.964820 config: drop-rate=0.00, max-delay=0s, seed=1479437901964680024
21:58:21.968786 router is listening at :3000
21:58:58.109911 [queue=0] packet #100, 127.0.0.1:51374 -> 127.0.0.1:8007, sz=0 is delivered
21:59:28.737763 [queue=0] packet #100, 127.0.0.1:43509 -> 127.0.0.1:8007, sz=0 is delivered
22:00:28.067496 [queue=0] packet #100, 127.0.0.1:43149 -> 127.0.0.1:8007, sz=0 is delivered
22:00:28.068050 [queue=0] packet #500, 127.0.0.1:8007 -> 127.0.0.1:43149, sz=23 is delivered
22:01:19.568086 [queue=0] packet #100, 127.0.0.1:43057 -> 127.0.0.1:8007, sz=0 is delivered
22:01:19.568647 [queue=0] packet #500, 127.0.0.1:8007 -> 127.0.0.1:43057, sz=23 is delivered
22:04:40.984185 [queue=0] packet #100, 127.0.0.1:35926 -> 127.0.0.1:8007, sz=0 is delivered
22:04:40.984715 [queue=0] packet #500, 127.0.0.1:8007 -> 127.0.0.1:35926, sz=23 is delivered
22:04:40.985123 [queue=0] packet #101, 127.0.0.1:35926 -> 127.0.0.1:8007, sz=0 is delivered
22:05:18.737551 [queue=0] packet #100, 127.0.0.1:40597 -> 127.0.0.1:8007, sz=0 is delivered
22:05:18.738171 [queue=0] packet #500, 127.0.0.1:8007 -> 127.0.0.1:40597, sz=23 is delivered
22:05:18.738586 [queue=0] packet #101, 127.0.0.1:40597 -> 127.0.0.1:8007, sz=0 is delivered
22:07:49.837902 [queue=0] packet #100, 127.0.0.1:55362 -> 127.0.0.1:8007, sz=0 is delivered
22:07:49.838442 [queue=0] packet #500, 127.0.0.1:8007 -> 127.0.0.1:55362, sz=23 is delivered
22:07:49.838948 [queue=0] packet #101, 127.0.0.1:55362 -> 127.0.0.1:8007, sz=0 is delivered
22:08:18.011334 [queue=0] packet #100, 127.0.0.1:38187 -> 127.0.0.1:8007, sz=0 is delivered
22:08:18.011870 [queue=0] packet #500, 127.0.0.1:8007 -> 127.0.0.1:38187, sz=23 is delivered
22:08:18.012356 [queue=0] packet #101, 127.0.0.1:38187 -> 127.0.0.1:8007, sz=0 is delivered
22:09:47.011707 [queue=0] packet #100, 127.0.0.1:59554 -> 127.0.0.1:8007, sz=0 is delivered
22:09:47.012241 [queue=0] packet #500, 127.0.0.1:8007 -> 127.0.0.1:59554, sz=23 is delivered
22:09:47.012717 [queue=0] packet #101, 127.0.0.1:59554 -> 127.0.0.1:8007, sz=0 is delivered
22:10:05.363972 [queue=0] packet #100, 127.0.0.1:56293 -> 127.0.0.1:8007, sz=0 is delivered
22:10:05.364518 [queue=0] packet #500, 127.0.0.1:8007 -> 127.0.0.1:56293, sz=23 is delivered
22:10:05.364992 [queue=0] packet #101, 127.0.0.1:56293 -> 127.0.0.1:8007, sz=0 is delivered
22:10:46.862102 [queue=0] packet #100, 127.0.0.1:58768 -> 127.0.0.1:8007, sz=0 is delivered
22:10:46.862640 [queue=0] packet #500, 127.0.0.1:8007 -> 127.0.0.1:58768, sz=23 is delivered
22:10:46.863161 [queue=0] packet #101, 127.0.0.1:58768 -> 127.0.0.1:8007, sz=0 is delivered
22:12:00.863466 [queue=0] packet #100, 127.0.0.1:58008 -> 127.0.0.1:8007, sz=0 is delivered
22:12:00.864138 [queue=0] packet #500, 127.0.0.1:8007 -> 127.0.0.1:58008, sz=23 is delivered
22:12:00.864649 [queue=0] packet #101, 127.0.0.1:58008 -> 127.0.0.1:8007, sz=0 is delivered
22:12:32.027521 [queue=0] packet #100, 127.0.0.1:57223 -> 127.0.0.1:8007, sz=0 is delivered
22:12:32.028189 [queue=0] packet #500, 127.0.0.1:8007 -> 127.0.0.1:57223, sz=23 is delivered
22:12:32.028724 [queue=0] packet #101, 127.0.0.1:57223 -> 127.0.0.1:8007, sz=0 is delivered
22:13:00.146531 [queue=0] packet #100, 127.0.0.1:56175 -> 127.0.0.1:8007, sz=0 is delivered
22:13:00.147267 [queue=0] packet #500, 127.0.0.1:8007 -> 127.0.0.1:56175, sz=23 is delivered
22:13:00.148353 [queue=0] packet #101, 127.0.0.1:56175 -> 127.0.0.1:8007, sz=23 is delivered
22:13:20.346953 [queue=0] packet #100, 127.0.0.1:55430 -> 127.0.0.1:8007, sz=0 is delivered
22:13:20.347483 [queue=0] packet #500, 127.0.0.1:8007 -> 127.0.0.1:55430, sz=23 is delivered
22:13:20.347966 [queue=0] packet #101, 127.0.0.1:55430 -> 127.0.0.1:8007, sz=23 is delivered
22:13:48.311221 [queue=0] packet #100, 127.0.0.1:42924 -> 127.0.0.1:8007, sz=0 is delivered
22:13:48.311743 [queue=0] packet #500, 127.0.0.1:8007 -> 127.0.0.1:42924, sz=23 is delivered
22:13:48.312243 [queue=0] packet #101, 127.0.0.1:42924 -> 127.0.0.1:8007, sz=23 is delivered
